maleIsoIndMeans,femaleIsoIndMeans,maleGroupIsoMean,femaleGroupIsoMean,day1toDay2,day2toDay3,normDay1mean,normDay2mean,normDay3mean
191.666666666667,0,198.105128205128,141.855555555556,1,0,2.60167892520229,2.4977005772516,2.41294016284276
226.5,0,0,0,0,2,0,0,0
0,168.233333333333,0,0,3,0,0,0,0
0,92.1,0,0,4,0,0,0,0
0,121.733333333333,0,0,5,0,0,0,0
178.166666666667,0,0,0,6,0,0,0,0
211.966666666667,0,0,0,7,0,0,0,0
0,151.966666666667,0,0,8,0,0,0,0
0,127.566666666667,0,0,9,9,0,0,0
210.666666666667,0,0,0,0,0,0,0,0
0,162,0,0,0,0,0,0,0
210.333333333333,0,0,0,0,12,0,0,0
0,201.733333333333,0,0,0,0,0,0,0
0,174.433333333333,0,0,0,14,0,0,0
232.366666666667,0,0,0,0,15,0,0,0
262.133333333333,0,0,0,16,16,0,0,0
0,130.1,0,0,17,17,0,0,0
0,111.8,0,0,0,19,0,0,0
0,151.933333333333,0,0,0,20,0,0,0
146.166666666667,0,0,0,0,21,0,0,0
185.5,0,0,0,22,0,0,0,0
0,108.666666666667,0,0,23,23,0,0,0
242.666666666667,0,0,0,0,0,0,0,0
142.066666666667,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
